TimeStamp,ChainlinkAggregate,Chainlayer,Wetez,ztake,Mycelium Node,Inotel,Sync Node,Omniscience,Alpha Chain,SNZPool,Simply VC,LinkPool,01Node,DexTrac,Prophet,Staked,PlusSign,Anyblock,LinkForest,Fiews,Framework Ventures,Staking Facilities,Blocksize Capital,T-Systems,Easy 2 stake,Kytzu,Figment Networks,Newroad Network,stake.fish,Validation Capital,P2P.org,Infinity Stones,Coincap,BraveNewCoin,CryptoCompare,AlphaVantage,CoinGecko,CoinPaprika,CoinMarketCap,,,,,
1650204025,3065.90,3067.38,3074.10,3069.86,3070.15,3071.55,3071.55,3071.55,3071.55,3071.55,3071.63,3073.31,3073.96,3065.85,3065.94,3066.40,3066.40,3066.62,3066.70,3066.71,3066.79,3066.92,3067.45,3067.87,3069.58,3074.13,3074.53,3075.10,3076.31,3076.78,3076.78,3077.67,3072.11,3076.52,3058.70,3062.11,3072.52,3073.12,3066.90,,,,,
1650204917,3071.55,3067.38,3074.10,3069.86,3070.15,3071.55,3071.55,3071.55,3071.55,3071.55,3071.63,3073.31,3073.96,3065.85,3065.94,3066.40,3066.40,3066.62,3066.70,3066.71,3066.79,3066.92,3067.45,3067.87,3069.58,3074.13,3074.53,3075.10,3076.31,3076.78,3076.78,3077.67,3068.64,3071.77,3065.00,3064.71,3069.33,3064.98,3062.87,,,,,
1650205825,3071.55,3067.38,3074.10,3069.86,3070.15,3071.55,3071.55,3071.55,3071.55,3071.55,3071.63,3073.31,3073.96,3065.85,3065.94,3066.40,3066.40,3066.62,3066.70,3066.71,3066.79,3066.92,3067.45,3067.87,3069.58,3074.13,3074.53,3075.10,3076.31,3076.78,3076.78,3077.67,3069.73,3070.99,3066.01,3066.99,3064.40,3070.39,3062.71,,,,,
1650206719,3071.55,3067.38,3074.10,3069.86,3070.15,3071.55,3071.55,3071.55,3071.55,3071.55,3071.63,3073.31,3073.96,3065.85,3065.94,3066.40,3066.40,3066.62,3066.70,3066.71,3066.79,3066.92,3067.45,3067.87,3069.58,3074.13,3074.53,3075.10,3076.31,3076.78,3076.78,3077.67,3078.40,3079.87,3068.43,3067.95,3071.80,3075.00,3070.33,,,,,
1650207630,3067.92,3067.97,3065.98,3067.92,3067.92,3067.92,3067.92,3068.00,3068.15,3070.61,3073.23,3073.50,3074.41,3066.28,3066.90,3066.99,3067.05,3067.05,3067.28,3067.28,3067.28,3067.53,3067.70,3067.70,3067.78,3067.89,3068.22,3068.22,3068.28,3068.36,3069.67,3070.61,3067.88,3076.14,3065.33,3063.74,3074.90,3064.50,3068.75,,,,,
1650208520,3067.92,3067.97,3065.98,3067.92,3067.92,3067.92,3067.92,3068.00,3068.15,3070.61,3073.23,3073.50,3074.41,3066.28,3066.90,3066.99,3067.05,3067.05,3067.28,3067.28,3067.28,3067.53,3067.70,3067.70,3067.78,3067.89,3068.22,3068.22,3068.28,3068.36,3069.67,3070.61,3065.43,3071.02,3060.57,3059.68,3063.35,3068.49,3061.88,,,,,
1650209419,3067.92,3067.97,3065.98,3067.92,3067.92,3067.92,3067.92,3068.00,3068.15,3070.61,3073.23,3073.50,3074.41,3066.28,3066.90,3066.99,3067.05,3067.05,3067.28,3067.28,3067.28,3067.53,3067.70,3067.70,3067.78,3067.89,3068.22,3068.22,3068.28,3068.36,3069.67,3070.61,3077.54,3077.53,3073.70,3072.79,3068.96,3075.42,3070.22,,,,,
1650210319,3067.92,3067.97,3065.98,3067.92,3067.92,3067.92,3067.92,3068.00,3068.15,3070.61,3073.23,3073.50,3074.41,3066.28,3066.90,3066.99,3067.05,3067.05,3067.28,3067.28,3067.28,3067.53,3067.70,3067.70,3067.78,3067.89,3068.22,3068.22,3068.28,3068.36,3069.67,3070.61,3080.45,3082.93,3076.34,3075.86,3080.25,3073.54,3078.23,,,,,
1650211221,3074.99,3074.54,3073.16,3073.22,3073.59,3074.00,3074.84,3074.91,3074.94,3074.96,3074.96,3074.99,3077.69,3074.12,3074.12,3074.37,3074.99,3074.99,3075.01,3075.13,3075.40,3076.27,3078.07,3078.07,3079.76,3080.87,3076.48,3076.76,3076.83,3077.56,3077.61,3077.61,3079.71,3083.06,3074.94,3073.00,3074.18,3080.70,3073.24,,,,,
1650212122,3074.99,3074.54,3073.16,3073.22,3073.59,3074.00,3074.84,3074.91,3074.94,3074.96,3074.96,3074.99,3077.69,3074.12,3074.12,3074.37,3074.99,3074.99,3075.01,3075.13,3075.40,3076.27,3078.07,3078.07,3079.76,3080.87,3076.48,3076.76,3076.83,3077.56,3077.61,3077.61,3082.52,3080.58,3077.16,3076.89,3072.12,3077.32,3073.63,,,,,
